Laurentia	Catoctin Basalts—A comp.	7474	38.5	281.8	42.0	296.7	17.5	1	1	1	Cf	1	1	1	7	572	567	577	Meert et al.	Meert et al., 1994a, Meert et al., 1994b, Meert et al., 1994c	Complex magnetizations in study area; confirmation needed
Laurentia	Callander Alkaline Complex	6458	46.2	280.6	46.3	301.4	6.0	1	1	1	C	0	1	1	6	575	570	580	Symons and Chiasson	1991	Q5; also complex magnetizations in study area
Laurentia	Baie des Moutons complex—A comp.	9364	50.8	301.0	42.6	332.7	12.0	1	1	1	0	0	0	1	4	583	581	585	McCausland et al.	2011	Q4, Q5
Laurentia	Baie des Moutons complex—B comp.	9365	50.8	301.0	−34.2	321.5	15.4	1	0	1	0	0	1	0	3	583	581	585	McCausland et al.	2011	Q2, Q4, Q5
Laurentia	Long Range Dykes (#1, 2, 3, 4, 6)	6934–6936	53.7	303.3	19.0	355.3	17.4	1	1	1	C	1	1	1	7	615	613	617	Murthy et al. (Kamo and Gower, 1994)	1992	Complex magnetizations in study area; confirmation needed
Laurentia	Uinta Mountain Group	9290	40.8	250.7	0.8	161.3	4.7	1	1	1	0	1	1	0	5	775	750	800	Weil et al.	2006	Q4
Laurentia	Tsezotene Sills—combined result	5922	63.5	235.0	1.6	137.8	5.0	1	1	1	0	1	1	1	6	778	776	780	Park et al. (includes data from Park, 1981)	1989	Q4
Laurentia	MEAN Wyoming “Gunbarrel” dykes (site-weighted mean of Tobacco Root B, Christmas Lake, Mt Moran)	MEAN	44.8	248.7	13.9	129.4	8.2	1	1	1	0	1	0	0	4	778	776	780	LULEÅ WORKING GROUP (Harlan et al., 1997, Harlan et al., 2008)	2009	Q4
Laurentia	Haliburton Intrusions—A comp.	9165	45.0	281.4	−32.6	141.9	6.3	1	1	1	0	0	0	0	3	1015	1000	1030	Warnock et al. (cooling age)	2000	Q4, Q5
Laurentia	Nonesuch Shale	2053	47.0	271.5	7.6	178.1	5.5	1	1	1	0	1	0	0	4	1050	1020	1080	Henry et al.	1977	Q4; also age constraints somewhat lax
Laurentia	Freda Sandstone—High temp. comp.	2051	47.0	271.5	2.2	179.0	4.2	1	1	1	0	1	0	0	4	1050	1020	1080	Henry et al.	1977	Q4; also age constraints somewhat lax
